集計期間,売上高(税込),売上高(税抜),内消費税（合計）,割引合計,割引前 売上高,売上高（10%標準）,内消費税（10%標準）,売上高（8%軽減）,内消費税（8%軽減）,売上高（非課税）,会計数,会計単価(税込),会計単価(税抜),客数,客単価(税込),客単価(税抜),商品販売数
2026,171420,156040,15380,11371,182791,160589,14585,10227,756,621,154,1113,1012,261,570,518,535
2026/01,84832,77204,7628,8505,93337,78991,7171,5638,418,220,74,1146,1042,159,454,413,224
2026/02,86588,78836,7752,2866,89454,81598,7414,4589,338,401,80,1082,984,102,752,684,311
2026/03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026/08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026/09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
